MARITAL;AGE;GENDER1;HOMPOP;HAPPY;HEALTH;SATJOB;REALINC
1;62;1;5;2;2;2;26950
2;62;1;1;2;0;3;22050
1;29;1;2;2;1;2;33075
1;31;1;2;2;1;1;58800
5;32;1;3;2;0;2;0
1;41;1;2;1;2;1;40425
1;30;1;6;1;0;1;40425
2;64;2;1;2;2;0;18375
3;50;1;1;2;2;2;0
5;22;1;4;2;0;1;155139.9731
5;22;2;3;2;0;2;5512.5
5;54;1;2;2;2;1;9187.5
2;76;2;2;3;0;0;15925
1;66;1;3;3;3;2;26950
3;64;1;2;3;0;0;33075
1;56;2;2;2;0;1;0
5;19;2;2;2;1;0;22050
1;45;1;4;2;0;2;155139.9731
1;47;1;4;1;1;2;0
5;20;2;2;2;1;0;22050
1;44;1;5;2;0;2;13475
5;24;1;2;2;2;1;22050
1;49;1;4;1;0;2;26950
3;67;2;1;2;0;2;40425
3;48;1;1;2;0;2;18375
4;47;2;2;3;1;1;3185
1;75;1;2;2;2;1;33075
1;76;1;2;1;2;0;26950
3;51;1;2;2;2;1;22050
1;37;1;4;1;1;2;49000
5;43;2;3;3;0;2;40425
5;22;2;1;1;1;1;15925
5;41;1;5;2;2;1;40425
5;24;2;5;2;2;2;22050
1;43;1;2;2;3;3;0
3;66;2;1;1;2;1;11637.5
5;47;1;2;2;3;2;11637.5
1;50;1;2;2;1;2;22050
1;57;1;3;2;3;2;9187.5
1;56;1;3;2;3;2;33075
5;22;1;4;2;0;2;26950
1;61;1;2;2;1;2;58800
1;26;1;3;1;0;1;155139.9731
3;42;2;3;2;1;1;18375
1;87;2;2;1;1;0;0
1;32;2;2;2;2;2;68600
1;42;1;2;1;1;1;155139.9731
